id,date,time,molten_volume,count,working,molten_temp,facility_operation_cycleTime,production_cycletime,low_section_speed,high_section_speed,cast_pressure,biscuit_thickness,upper_mold_temp1,upper_mold_temp2,lower_mold_temp1,lower_mold_temp2,sleeve_temperature,physical_strength,Coolant_temperature,tryshot_signal,EMS_operation_time,mold_code,passorfail
73612,2019-03-12,06:12:13,-1,274,가동,733,121,122,110,112,317,53,211,160,128,202,402,735,34,A,6,8412,0
73613,2019-03-12,06:12:47,49,293,가동,730,124,123,110,112,329,52,102,183,190,302,368,693,31,A,23,8917,0
73614,2019-03-12,06:13:08,96,284,가동,717,121,125,105,106,325,48,115,171,192,193,312,656,33,A,23,8722,0
73615,2019-03-12,06:14:19,-1,275,가동,733,119,121,110,112,330,50,213,161,129,206,413,731,33,A,6,8412,0
73616,2019-03-12,06:14:49,48,294,가동,730,122,123,110,112,329,52,102,183,190,302,367,695,31,A,23,8917,0
73617,2019-03-12,06:15:22,95,285,가동,717,127,127,105,106,325,45,114,170,193,193,302,653,33,A,23,8722,0
73618,2019-03-12,06:16:20,-1,276,가동,732,120,121,110,112,318,50,213,161,129,208,415,711,33,A,6,8412,0
73619,2019-03-12,06:16:56,47,295,가동,732,122,123,110,112,329,52,102,183,190,303,368,697,31,A,23,8917,0
73620,2019-03-12,06:17:29,94,286,가동,717,118,120,105,106,325,46,117,172,196,193,308,655,33,A,23,8722,0
73621,2019-03-12,06:18:21,-1,277,가동,731,119,121,110,112,317,50,213,158,130,210,409,726,33,A,6,8412,0
73622,2019-03-12,06:18:58,46,296,가동,731,122,123,110,112,329,50,102,183,190,302,369,692,31,A,23,8917,0
73623,2019-03-12,06:19:24,93,287,가동,718,119,121,105,146,325,40,117,173,198,193,312,663,33,A,23,8722,0
73624,2019-03-12,06:20:28,-1,278,가동,730,119,124,110,112,317,50,210,161,130,205,404,720,33,A,6,8412,0
73625,2019-03-12,06:20:59,45,297,가동,731,122,122,110,112,330,57,102,183,190,302,370,697,31,A,23,8917,0
73626,2019-03-12,06:21:32,93,288,가동,719,118,121,105,112,324,42,117,173,197,192,314,650,33,A,23,8722,0
73627,2019-03-12,06:22:29,-1,279,가동,730,122,122,110,112,317,51,210,161,129,206,407,726,33,A,6,8412,0
73628,2019-03-12,06:23:07,44,298,가동,731,122,123,110,113,330,55,102,183,190,303,366,698,30,A,23,8917,0
73629,2019-03-12,06:23:55,92,289,가동,719,118,121,105,106,325,48,111,171,189,190,302,653,33,A,23,8722,0
73630,2019-03-12,06:24:28,-1,280,가동,729,120,121,110,112,317,50,212,161,129,208,407,736,33,A,6,8412,0
73631,2019-03-12,06:25:16,43,299,가동,728,122,123,110,112,329,53,102,183,191,303,367,696,31,A,23,8917,0
73632,2019-03-12,06:25:59,89,290,가동,720,129,123,105,106,325,51,114,170,190,191,309,662,33,A,23,8722,0
73633,2019-03-12,06:26:35,-1,281,가동,729,119,122,110,112,317,50,210,161,129,207,408,732,33,A,6,8412,0
73634,2019-03-12,06:27:19,78,300,가동,727,122,124,110,112,329,47,102,183,190,302,367,697,31,A,23,8917,0
73635,2019-03-12,06:28:05,88,291,가동,721,124,125,105,109,325,48,115,171,192,192,312,653,33,A,23,8722,0
73636,2019-03-12,06:28:35,-1,282,가동,731,120,122,110,112,330,48,210,161,129,209,406,733,33,A,6,8412,0
