molten_volume,count,working,molten_temp,facility_operation_cycleTime,production_cycletime,low_section_speed,high_section_speed,cast_pressure,biscuit_thickness,upper_mold_temp1,upper_mold_temp2,lower_mold_temp1,lower_mold_temp2,sleeve_temperature,physical_strength,Coolant_temperature,tryshot_signal,EMS_operation_time,mold_code,passorfail
-1.0,141,가동,709.0,121,123,110.0,112.0,331.0,55.0,103.0,177.0,225.0,146.0,479.0,708.0,33.0,A,23,8917,0.0
-1.0,190,가동,713.0,115,117,110.0,112.0,330.0,53.0,103.0,175.0,227.0,149.0,469.0,712.0,34.0,A,23,8917,0.0
-1.0,142,가동,719.0,122,124,110.0,112.0,330.0,53.0,234.0,206.0,237.0,216.0,478.0,711.0,31.0,A,23,8573,0.0
32.0,44,가동,730.0,115,118,110.0,112.0,324.0,55.0,183.0,180.0,262.0,183.0,432.0,704.0,31.0,A,23,8917,0.0
72.0,138,가동,728.0,121,123,110.0,111.0,329.0,49.0,204.0,189.0,274.0,188.0,446.0,696.0,32.0,A,23,8917,0.0
49.0,217,가동,730.0,119,121,110.0,112.0,329.0,46.0,204.0,191.0,270.0,188.0,447.0,691.0,32.0,A,23,8917,0.0
40.0,188,가동,709.0,124,120,115.0,117.0,325.0,52.0,237.0,177.0,263.0,213.0,497.0,689.0,32.0,A,23,8600,0.0
-1.0,74,가동,731.0,120,123,110.0,112.0,331.0,56.0,235.0,207.0,240.0,218.0,476.0,714.0,31.0,A,23,8573,0.0
66.0,190,가동,731.0,119,121,110.0,113.0,329.0,48.0,204.0,191.0,278.0,187.0,605.0,697.0,30.0,A,23,8917,0.0
38.0,167,가동,728.0,115,117,110.0,112.0,329.0,51.0,186.0,183.0,266.0,181.0,423.0,694.0,30.0,A,23,8917,0.0
55.0,1,가동,727.0,129,131,0.0,109.0,142.0,420.0,109.0,60.0,54.0,81.0,354.0,3.0,26.0,D,23,8722,1.0
39.0,21,가동,726.0,115,117,110.0,112.0,329.0,54.0,168.0,171.0,247.0,170.0,410.0,705.0,30.0,A,23,8917,0.0
-1.0,152,가동,712.0,124,208,110.0,113.0,330.0,51.0,107.0,145.0,194.0,133.0,458.0,710.0,32.0,A,23,8917,0.0
66.0,5,가동,722.0,115,119,110.0,112.0,330.0,49.0,148.0,127.0,254.0,146.0,464.0,700.0,31.0,A,23,8722,0.0
52.0,70,가동,728.0,115,117,110.0,112.0,330.0,54.0,182.0,180.0,260.0,179.0,413.0,702.0,30.0,A,23,8917,0.0
-1.0,155,가동,710.0,148,121,110.0,113.0,332.0,52.0,214.0,193.0,171.0,250.0,472.0,709.0,32.0,A,3,8917,0.0
-1.0,290,가동,710.0,124,124,110.0,114.0,331.0,53.0,235.0,198.0,163.0,216.0,478.0,711.0,32.0,A,23,8573,0.0
-1.0,62,가동,729.0,123,121,110.0,112.0,319.0,55.0,220.0,156.0,132.0,217.0,212.0,727.0,34.0,A,6,8412,0.0
59.0,107,가동,711.0,117,126,115.0,117.0,324.0,47.0,220.0,198.0,201.0,175.0,513.0,695.0,33.0,A,23,8600,0.0
82.0,264,가동,723.0,124,81,109.0,112.0,329.0,46.0,202.0,190.0,272.0,187.0,425.0,702.0,31.0,A,23,8917,0.0
70.0,135,가동,719.0,122,123,110.0,112.0,331.0,48.0,176.0,125.0,303.0,186.0,476.0,706.0,38.0,A,23,8722,0.0
52.0,118,가동,708.0,117,121,115.0,271.0,324.0,34.0,228.0,202.0,205.0,181.0,515.0,698.0,33.0,A,23,8600,1.0
-1.0,65,가동,713.0,124,123,110.0,112.0,331.0,55.0,231.0,193.0,99.0,207.0,571.0,699.0,32.0,A,23,8573,0.0
-1.0,210,가동,731.0,119,120,100.0,102.0,332.0,47.0,273.0,161.0,211.0,197.0,567.0,721.0,32.0,A,23,8412,0.0
46.0,43,가동,708.0,117,120,115.0,117.0,325.0,52.0,301.0,177.0,259.0,210.0,498.0,693.0,33.0,A,23,8600,0.0
-1.0,186,가동,732.0,123,123,110.0,112.0,330.0,53.0,212.0,157.0,125.0,208.0,408.0,718.0,32.0,A,6,8412,0.0
54.0,27,가동,721.0,120,121,110.0,112.0,331.0,45.0,172.0,124.0,300.0,183.0,476.0,700.0,34.0,A,23,8722,0.0
72.0,236,가동,708.0,116,123,110.0,112.0,333.0,47.0,114.0,158.0,140.0,191.0,484.0,700.0,32.0,A,23,8412,0.0
56.0,111,가동,710.0,117,120,115.0,117.0,324.0,47.0,225.0,199.0,202.0,177.0,514.0,696.0,32.0,A,23,8600,0.0
91.0,289,가동,702.0,118,120,110.0,112.0,329.0,44.0,186.0,181.0,245.0,174.0,413.0,701.0,32.0,A,23,8917,0.0
-1.0,61,가동,714.0,118,117,110.0,112.0,330.0,56.0,103.0,163.0,224.0,138.0,494.0,710.0,25.0,A,23,8917,0.0
46.0,40,가동,730.0,124,122,105.0,168.0,325.0,40.0,199.0,171.0,203.0,241.0,463.0,693.0,33.0,A,23,8722,0.0
59.0,213,가동,731.0,118,121,110.0,114.0,329.0,52.0,205.0,186.0,195.0,305.0,342.0,693.0,31.0,A,23,8917,0.0
54.0,230,가동,728.0,115,117,110.0,112.0,329.0,54.0,186.0,183.0,266.0,184.0,424.0,703.0,31.0,A,23,8917,0.0
-1.0,292,가동,729.0,116,118,110.0,112.0,331.0,49.0,242.0,204.0,217.0,215.0,550.0,706.0,33.0,A,23,8573,0.0
-1.0,23,가동,712.0,121,123,110.0,113.0,331.0,49.0,228.0,192.0,153.0,212.0,477.0,705.0,31.0,A,23,8573,0.0
-1.0,141,가동,707.6027529582226,117,120,140.0,143.0,333.0,49.0,182.0,146.0,173.0,163.0,507.0,716.0,29.0,A,23,8412,0.0
-1.0,188,가동,710.0,146,122,110.0,112.0,332.0,53.0,217.0,184.0,160.0,198.0,575.0,712.0,33.0,A,23,8573,0.0
75.0,164,가동,726.0,119,121,110.0,112.0,330.0,49.0,168.0,182.0,243.0,174.0,436.0,698.0,31.0,A,23,8917,0.0
61.0,194,가동,731.0,116,117,110.0,113.0,329.0,54.0,184.0,182.0,264.0,182.0,428.0,705.0,31.0,A,23,8917,0.0
75.0,92,가동,704.0,120,124,110.0,112.0,333.0,45.0,108.0,85.0,91.0,137.0,484.0,716.0,29.0,A,23,8412,0.0
65.0,27,가동,731.0,119,121,110.0,112.0,330.0,47.0,170.0,119.0,172.0,262.0,480.0,700.0,32.0,A,23,8722,0.0
0.0,215,가동,722.1659846128663,125,122,105.0,106.0,325.0,48.0,199.0,176.0,212.0,246.0,459.0,689.0,31.0,A,23,8722,0.0
-1.0,189,가동,731.0,117,118,110.0,112.0,321.0,43.0,171.0,162.0,129.0,196.0,168.0,717.0,31.0,A,6,8412,0.0
-1.0,100,가동,714.0,123,125,110.0,112.0,331.0,52.0,102.0,166.0,223.0,143.0,482.0,708.0,33.0,A,23,8917,0.0
100.0,156,가동,693.0,122,119,110.0,112.0,331.0,41.0,174.0,131.0,298.0,183.0,464.0,703.0,38.0,A,23,8722,0.0
-1.0,163,가동,732.0,122,124,110.0,112.0,331.0,53.0,237.0,209.0,239.0,220.0,480.0,708.0,33.0,A,23,8573,0.0
32.0,160,가동,710.0,115,122,110.0,112.0,333.0,47.0,143.0,182.0,127.0,138.0,484.0,689.0,29.0,A,23,8412,0.0
