id,date,time,molten_volume,count,working,molten_temp,facility_operation_cycleTime,production_cycletime,low_section_speed,high_section_speed,cast_pressure,biscuit_thickness,upper_mold_temp1,upper_mold_temp2,lower_mold_temp1,lower_mold_temp2,sleeve_temperature,physical_strength,Coolant_temperature,tryshot_signal,EMS_operation_time,mold_code,passorfail,datetime
0,2019-01-02,16:45:06,75,258,가동,731,119,120,110,112,331,35,198,116,234,316,550,700,34,A,23,8722,0,2019-01-02 16:45:06
22,2019-01-02,17:27:28,74,73,가동,731,119,120,109,125,177,48,24,33,30,273,479,708,35,A,23,8722,1,2019-01-02 17:27:28
24,2019-01-02,17:29:32,72,1,가동,731,119,123,109,112,176,49,26,55,30,323,513,700,35,A,23,8722,1,2019-01-02 17:29:32
26,2019-01-02,17:31:41,72,2,가동,731,119,124,109,112,331,47,31,65,30,343,531,708,34,A,23,8722,1,2019-01-02 17:31:41
28,2019-01-02,17:33:39,71,3,가동,731,120,124,110,112,331,46,36,73,31,343,544,707,34,A,23,8722,1,2019-01-02 17:33:39
30,2019-01-02,17:35:43,71,4,가동,730,120,124,110,112,331,50,41,78,32,394,545,706,34,A,23,8722,1,2019-01-02 17:35:43
31,2019-01-02,17:38:19,70,5,가동,730,120,156,110,112,313,44,40,74,33,409,546,708,35,A,23,8722,1,2019-01-02 17:38:19
33,2019-01-02,17:40:24,69,6,가동,729,153,125,110,112,316,49,52,81,35,426,553,699,35,A,23,8722,1,2019-01-02 17:40:24
36,2019-01-02,17:42:32,69,7,가동,729,121,125,110,112,299,47,53,84,36,438,553,692,35,A,23,8722,1,2019-01-02 17:42:32
38,2019-01-02,17:44:35,67,8,가동,728,121,126,110,112,316,44,47,86,38,449,552,709,35,A,23,8722,1,2019-01-02 17:44:35
40,2019-01-02,17:46:42,67,9,가동,728,122,127,110,112,301,47,58,87,39,456,549,703,35,A,23,8722,1,2019-01-02 17:46:42
42,2019-01-02,17:48:51,66,10,가동,728,124,128,110,112,314,46,51,89,41,461,548,709,35,A,23,8722,1,2019-01-02 17:48:51
44,2019-01-02,17:50:53,65,11,가동,729,124,122,110,112,309,47,67,91,43,467,548,702,35,A,23,8722,1,2019-01-02 17:50:53
46,2019-01-02,17:52:56,64,12,가동,729,119,123,110,112,316,50,70,94,44,473,551,699,35,A,23,8722,1,2019-01-02 17:52:56
